Number,Start_Mon,Close_Mon,Start_Tue,Close_Tue,Start_Wed,Close_Wed,Start_Thu,Close_Thu,Start_Fri,Close_Fri,Start_Sat,Close_Sat,Start_Sun,Close_Sun,IsOpenHoliday,Lunch_Week
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ3OSQzNjEwMDIjNTEjJDEjJDYjJDgz,900,1950,900,1950,900,1950,900,1950,900,1950,900,1630,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,900,2200,900,2200,900,2200,900,2200,900,2200,900,2200,,,,13시20분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ4OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,,,1000,1900,,13시00분-14시00
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100,1100,2100,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,840,1900,840,1900,840,1900,840,1900,840,1900,840,1700,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQxIyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,,,,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,2000,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQyIyQxIyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,13:00~14:00
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz,,,,,,,,,,,,,,,9시~18시,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQ3IyQwMyQzNjEyMjIjNTEjJDEjJDIjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1630,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ3MiQyNjE0ODEjNjEjJDEjJDQjJDgz,,,,,,,,,,,,,,,전부 휴진,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ4OSQzNjEwMDIjNzEjJDEjJDgjJDgz,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300,,,휴무,12시 ~13시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ5MiQzNjE4MzIjNzEjJDEjJDgjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,,,1300,100,1300,100,1300,100,1300,100,1300,100,1300,100,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz,900,2030,900,2030,900,2030,900,2030,900,2030,900,2000,,,오전9시~오후8시,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQyIyQ3IyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,830,1800,830,1800,830,1800,830,1800,830,1800,830,1300,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1900,1000,1400,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQxMyQzNjE4MzIjNjEjJDEjJDAjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQyIyQ3IyQwMCQzNjE0ODEjNjEjJDEjJDgjJDgz,900,1830,900,1830,900,1830,900,1830,900,1830,900,1400,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,900,1930,900,1930,900,1930,900,1930,900,1930,900,1630,,,,13시00분-14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQwMyQyNjEyMjIjODEjJDEjJDYjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,,,,,,,,,,,,,,,오후5시까지근무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQ2MiQzNjE4MzIjNjEjJDEjJDAjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNTEjJDEjJDYjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,,,오후6시까지,오후1시부터 2시까지
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjNzEjJDEjJDgjJDgz,930,2400,930,2400,930,2400,930,2400,930,2400,930,2400,930,2400,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQ3IyQwMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,09:00 ~ 19:00,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNTEjJDEjJDYjJDgz,900,2130,900,2130,900,2130,900,2130,900,2130,900,1900,900,1330,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDQjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,,,전부휴진,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,,12시-13시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600,,,,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNzEjJDEjJDgjJDgz,830,1900,830,1900,830,1900,830,1900,830,1900,830,1900,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEwMDIjNjEjJDEjJDAjJDgz,900,2230,900,2230,900,2230,900,2230,900,2230,900,2230,1000,2200,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz,830,2000,830,2000,830,2000,830,2000,830,2000,830,1730,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE4MzIjNTEjJDEjJDIjJDgz,800,1900,800,1900,800,1900,800,1900,800,1900,800,1400,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,,,,,,,,,,,,,,,9시~5시근무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNzEjJDEjJDgjJDgz,900,2150,900,2150,900,2150,900,2150,900,2150,900,2100,,,오후8시이후,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ5OSQyNjE0ODEjNTEjJDEjJDYjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,,,오전9시~오후1시,오후 1시 ~ 오후 2시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQyIyQ1IyQwMCQyNjE0ODEjNzEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDQjJDgz,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300,,,휴무,12시00분~13시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,,,근무시간 10시00분~22시00분,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQyIyQzIyQwMCQ0NjE0ODEjNjEjJDEjJDQjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzQxIyQxIyQ3IyQ2MiQzNjE0ODEjNTEjJDEjJDIjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,2000,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzQxIyQxIyQ3IyQxMyQyNjEyMjIjNTEjJDEjJDIjJDgz,830,2130,830,2130,830,2130,830,2130,830,2130,830,2130,1800,2130,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzQxIyQyIyQ3IyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,830,1900,830,1900,830,1900,830,1900,830,1900,830,1800,830,1300,정상영업,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1800,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjE0ODEjODEjJDEjJDIjJDgz,900,1830,900,1830,900,1830,900,1830,900,1830,900,1330,1000,1600,일부 휴진,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,900,2200,900,2200,900,2200,900,2200,900,2200,900,1900,,,,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,900,2100,900,2100,900,2200,900,2100,900,2100,900,2100,900,2100,정상 근무,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600,,,,13:00~14:15
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQwMyQzNjE0ODEjODEjJDEjJDIjJDgz,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100,1000,2100,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNjEjJDEjJDAjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQyIyQxIyQwMCQzNjE4MzIjNjEjJDEjJDgjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,830,2100,830,2100,830,2100,830,2100,830,2100,830,2100,900,2000,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,900,1920,900,1920,900,1920,900,1920,900,1920,900,1600,,,,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,830,1930,830,1930,830,2100,830,1900,830,1930,830,1630,,,8:30-13:00,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,810,1900,810,1900,810,1900,810,1900,810,1900,810,1700,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500,,,,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz,,,,,,,,,,,,,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600,,,전부 휴진,1시~2시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1400,,,전부휴진,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,900,2030,900,2030,900,2030,900,2030,900,2030,900,1700,900,2100,,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,1300,오후 1시이후,13:00-14:00
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjODEjJDEjJDYjJDgz,,,,,,,,,,,,,,,"설날, 추석는 휴무. 기타공휴일은 오후 1시까지 운영",
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,900,1930,900,1930,900,1930,900,1930,900,1930,900,1700,,,,1시~2시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,900,1930,900,1930,900,1930,900,1930,900,1930,900,1600,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700,900,1700,"설날, 추석 당일 휴무",
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,900,2200,900,2200,900,2200,900,2200,900,2200,900,2100,,,정상근무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQyIyQ3IyQwMCQ0NjE0ODEjODEjJDEjJDIjJDgz,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1700,,,휴무,12시 10분 ~ 13시 (오후 1시)
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,13시~14시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,2400,종일 근무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQzIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQ1IyQ5MiQzNjE0ODEjNjEjJDEjJDAjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,근무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQ5IyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1700,900,1300,,01:00~02:00
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjODEjJDEjJDYjJDgz,830,2000,830,2000,830,2000,830,2000,830,2000,830,1700,900,1300,1시 이후 휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQxIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,900,2130,900,2130,900,2130,900,2130,900,2130,900,2100,,,정상근무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQ2MiQyNjEyMjIjNjEjJDEjJDQjJDgz,900,1930,900,1930,900,1930,900,1930,900,1930,900,1900,,,.,13시00분~14시00분
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNjEjJDEjJDgjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400,,,,13:00-14:00
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,900,2030,900,2030,900,2030,900,2030,900,2030,900,1800,,,전부휴진,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQ5MiQzNjE0ODEjNTEjJDEjJDYjJDgz,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,900,1200,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjNDEjJDEjJDQjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1800,900,1800,,오후 1시 ~ 오후 2시
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQwMyQyNjEyMjIjNTEjJDEjJDYjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,900,1900,,,오후5시이후,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz,830,1830,830,1830,830,1830,830,1830,830,1830,,,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQxMyQzNjE4MzIjNDEjJDEjJDgjJDgz,,,,,,,,,,,,,,,오후 5시이후,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,830,2000,830,2000,830,2000,830,2000,830,2000,830,2000,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,,,,,,,,,,,,,,,휴무,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQyIyQ1IyQwMCQzNjE0ODEjNTEjJDEjJDYjJDgz,900,2000,900,2000,900,2000,900,2000,900,2000,900,1700,1000,1300,,13시 00분 ~ 14시 00분
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQ3IyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,,,,,,,,,,,,,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNzEjJDEjJDgjJDgz,900,2100,900,2100,900,2100,900,2100,900,2100,,,,,오전9시30분부터저녁8시까지,
